Profile 1;Profile 1;Fit;Fit;
x;y;x;y;
[m];[m];[m];[m];
0;1.4834633e-006;0;1.5737858e-006;
1.8538801e-006;1.461031e-006;1.8538801e-006;1.5737858e-006;
3.7077601e-006;1.4547468e-006;3.7077601e-006;1.5737858e-006;
5.5616402e-006;1.439313e-006;5.5616402e-006;1.5737858e-006;
7.4155202e-006;1.425701e-006;7.4155202e-006;1.5737858e-006;
9.2694003e-006;1.4073067e-006;9.2694003e-006;1.5737858e-006;
1.112328e-005;1.3920882e-006;1.112328e-005;1.5737858e-006;
1.297716e-005;1.3914119e-006;1.297716e-005;1.5737858e-006;
1.483104e-005;1.3949334e-006;1.483104e-005;1.5737858e-006;
1.668492e-005;1.3986149e-006;1.668492e-005;1.5737858e-006;
1.8538801e-005;1.3935175e-006;1.8538801e-005;1.5737858e-006;
2.0392681e-005;1.3648893e-006;2.0392681e-005;1.5737858e-006;
2.2246561e-005;1.4934164e-006;2.2246561e-005;1.5737858e-006;
2.4100441e-005;1.5524994e-006;2.4100441e-005;1.5737858e-006;
2.5954321e-005;1.4383764e-006;2.5954321e-005;1.5737858e-006;
2.7808201e-005;1.4324679e-006;2.7808201e-005;1.5737858e-006;
2.9662081e-005;1.4363203e-006;2.9662081e-005;1.5737858e-006;
3.1515961e-005;1.4346992e-006;3.1515961e-005;1.5737858e-006;
3.3369841e-005;1.4308983e-006;3.3369841e-005;1.5737858e-006;
3.5223721e-005;1.4292063e-006;3.5223721e-005;1.5737858e-006;
3.7077601e-005;1.4171446e-006;3.7077601e-005;1.5737858e-006;
3.8931481e-005;1.4257586e-006;3.8931481e-005;1.5737858e-006;
4.0785361e-005;1.4104214e-006;4.0785361e-005;1.5737858e-006;
4.2639241e-005;1.4167818e-006;4.2639241e-005;1.5737858e-006;
4.4493121e-005;1.4082233e-006;4.4493121e-005;1.5737858e-006;
4.6347001e-005;1.411932e-006;4.6347001e-005;1.5737858e-006;
4.8200881e-005;1.4108553e-006;4.8200881e-005;1.5737858e-006;
5.0054761e-005;1.4126137e-006;5.0054761e-005;1.5737858e-006;
5.1908642e-005;1.3881618e-006;5.1908642e-005;1.5737858e-006;
5.3762522e-005;1.3943161e-006;5.3762522e-005;1.5737858e-006;
5.5616402e-005;1.4251954e-006;5.5616402e-005;1.5737858e-006;
5.7470282e-005;1.4169066e-006;5.7470282e-005;1.5737858e-006;
5.9324162e-005;1.4312944e-006;5.9324162e-005;1.5737858e-006;
6.1178042e-005;1.4500245e-006;6.1178042e-005;1.5737858e-006;
6.3031922e-005;1.4549403e-006;6.3031922e-005;1.5737858e-006;
6.4885802e-005;1.4543671e-006;6.4885802e-005;1.5737858e-006;
6.6739682e-005;1.4678246e-006;6.6739682e-005;1.5737858e-006;
6.8593562e-005;1.4681349e-006;6.8593562e-005;1.5737858e-006;
7.0447442e-005;1.4583451e-006;7.0447442e-005;1.5737858e-006;
7.2301322e-005;1.4650894e-006;7.2301322e-005;1.5737858e-006;
7.4155202e-005;1.4517482e-006;7.4155202e-005;1.5737858e-006;
7.6009082e-005;1.4694284e-006;7.6009082e-005;1.5737858e-006;
7.7862962e-005;1.4630218e-006;7.7862962e-005;1.5737858e-006;
7.9716842e-005;1.4840336e-006;7.9716842e-005;1.5737858e-006;
8.1570722e-005;1.4897387e-006;8.1570722e-005;1.5737858e-006;
8.3424602e-005;1.4690147e-006;8.3424602e-005;1.5737858e-006;
8.5278482e-005;1.4852786e-006;8.5278482e-005;1.5737858e-006;
8.7132363e-005;1.4846452e-006;8.7132363e-005;1.5737858e-006;
8.8986243e-005;1.514887e-006;8.8986243e-005;1.5737858e-006;
9.0840123e-005;1.4969672e-006;9.0840123e-005;1.5737858e-006;
9.2694003e-005;1.5061884e-006;9.2694003e-005;1.5737858e-006;
9.4547883e-005;1.5224e-006;9.4547883e-005;1.5737858e-006;
9.6401763e-005;1.5116201e-006;9.6401763e-005;1.5737858e-006;
9.8255643e-005;1.478654e-006;9.8255643e-005;1.5737858e-006;
0.00010010952;1.5209905e-006;0.00010010952;1.5737858e-006;
0.0001019634;1.544205e-006;0.0001019634;1.5737858e-006;
0.00010381728;1.5474299e-006;0.00010381728;1.5737858e-006;
0.00010567116;1.5342446e-006;0.00010567116;1.5737858e-006;
0.00010752504;1.5293549e-006;0.00010752504;1.5737858e-006;
0.00010937892;1.5653218e-006;0.00010937892;1.5737858e-006;
0.0001112328;1.5705886e-006;0.0001112328;1.5737858e-006;
0.00011308668;1.5205617e-006;0.00011308668;1.5737858e-006;
0.00011494056;1.4748092e-006;0.00011494056;1.5737858e-006;
0.00011679444;1.4755755e-006;0.00011679444;1.5737858e-006;
0.00011864832;1.4383305e-006;0.00011864832;1.5737858e-006;
0.0001205022;1.4348591e-006;0.0001205022;1.5737858e-006;
0.00012235608;1.4172144e-006;0.00012235608;1.5737858e-006;
0.00012420996;1.4105088e-006;0.00012420996;1.5737858e-006;
0.00012606384;1.3735501e-006;0.00012606384;1.5737858e-006;
0.00012791772;1.3850875e-006;0.00012791772;1.5737858e-006;
0.0001297716;1.3842504e-006;0.0001297716;1.5737858e-006;
0.00013162548;1.4291309e-006;0.00013162548;1.5737858e-006;
0.00013347936;1.4446875e-006;0.00013347936;1.5737858e-006;
0.00013533324;1.4596875e-006;0.00013533324;1.5737858e-006;
0.00013718712;8.3230848e-007;0.00013718712;1.5737858e-006;
0.000139041;8.4988694e-007;0.000139041;1.5737858e-006;
0.00014089488;8.3584586e-007;0.00014089488;1.5737858e-006;
0.00014274876;8.2449183e-007;0.00014274876;1.5737858e-006;
0.00014460264;7.8211527e-007;0.00014460264;1.5737858e-006;
0.00014645652;7.0548605e-007;0.00014645652;1.5737858e-006;
0.0001483104;7.164815e-007;0.0001483104;1.5737858e-006;
0.00015016428;6.8775953e-007;0.00015016428;1.5737858e-006;
0.00015201816;4.064355e-007;0.00015201816;1.5737858e-006;
0.00015387204;8.4863516e-007;0.00015387204;1.5737858e-006;
0.00015572592;8.6622602e-007;0.00015572592;1.5737858e-006;
0.0001575798;1.2437675e-006;0.0001575798;1.5737858e-006;
0.00015943368;1.4185905e-006;0.00015943368;1.5737858e-006;
0.00016128756;1.4473186e-006;0.00016128756;1.5737858e-006;
0.00016314144;1.4898593e-006;0.00016314144;1.5737858e-006;
0.00016499532;1.5228139e-006;0.00016499532;1.5737858e-006;
0.0001668492;1.5161576e-006;0.0001668492;1.5737858e-006;
0.00016870308;1.4459543e-006;0.00016870308;1.5737858e-006;
0.00017055696;1.4666332e-006;0.00017055696;1.5737858e-006;
0.00017241085;1.4838185e-006;0.00017241085;1.5737858e-006;
0.00017426473;1.4989449e-006;0.00017426473;1.5737858e-006;
0.00017611861;1.5043046e-006;0.00017611861;1.5737858e-006;
0.00017797249;1.4876308e-006;0.00017797249;1.5737858e-006;
0.00017982637;1.4880927e-006;0.00017982637;1.5737858e-006;
0.00018168025;1.4848343e-006;0.00018168025;1.5737858e-006;
0.00018353413;1.4648401e-006;0.00018353413;1.5737858e-006;
0.00018538801;1.4488188e-006;0.00018538801;1.5737858e-006;
0.00018724189;1.4473398e-006;0.00018724189;1.5737858e-006;
0.00018909577;1.4912551e-006;0.00018909577;1.5737858e-006;
0.00019094965;1.4595513e-006;0.00019094965;1.5737858e-006;
0.00019280353;1.3946114e-006;0.00019280353;1.5737858e-006;
0.00019465741;1.2676603e-006;0.00019465741;1.5737858e-006;
0.00019651129;1.2551088e-006;0.00019651129;1.5737858e-006;
0.00019836517;1.371952e-006;0.00019836517;1.5737858e-006;
0.00020021905;1.3938096e-006;0.00020021905;1.5737858e-006;
0.00020207293;1.4095328e-006;0.00020207293;1.5737858e-006;
0.00020392681;1.4020506e-006;0.00020392681;1.5737858e-006;
0.00020578069;1.382358e-006;0.00020578069;1.5737858e-006;
0.00020763457;1.5445859e-006;0.00020763457;1.5737858e-006;
0.00020948845;2.1602327e-006;0.00020948845;1.5737858e-006;
0.00021134233;2.5280567e-006;0.00021134233;1.5737858e-006;
0.00021319621;1.7319663e-006;0.00021319621;1.5737858e-006;
0.00021505009;2.2325458e-006;0.00021505009;1.5737858e-006;
0.00021690397;2.368269e-006;0.00021690397;1.5737858e-006;
0.00021875785;2.5573339e-006;0.00021875785;1.5737858e-006;
0.00022061173;2.6460376e-006;0.00022061173;1.5737858e-006;
0.00022246561;2.6725422e-006;0.00022246561;1.5737858e-006;
0.00022431949;2.5915158e-006;0.00022431949;1.5737858e-006;
0.00022617337;2.7804546e-006;0.00022617337;1.5737858e-006;
0.00022802725;2.3176355e-006;0.00022802725;1.5737858e-006;
0.00022988113;2.2646632e-006;0.00022988113;1.5737858e-006;
0.00023173501;2.0171836e-006;0.00023173501;1.5737858e-006;
0.00023358889;2.0921339e-006;0.00023358889;1.5737858e-006;
0.00023544277;2.0306491e-006;0.00023544277;1.5737858e-006;
0.00023729665;2.0166619e-006;0.00023729665;1.5737858e-006;
0.00023915053;1.7141876e-006;0.00023915053;1.5737858e-006;
0.00024100441;1.7848511e-006;0.00024100441;1.5737858e-006;
0.00024285829;1.7833935e-006;0.00024285829;1.223609e-006;
0.00024471217;1.9982947e-006;0.00024471217;1.223609e-006;
0.00024656605;2.2346577e-006;0.00024656605;1.223609e-006;
0.00024841993;2.202258e-006;0.00024841993;1.223609e-006;
0.00025027381;1.5759033e-006;0.00025027381;1.223609e-006;
0.00025212769;1.6224339e-006;0.00025212769;1.223609e-006;
0.00025398157;1.6163802e-006;0.00025398157;1.223609e-006;
0.00025583545;1.6093391e-006;0.00025583545;1.223609e-006;
0.00025768933;1.5987533e-006;0.00025768933;1.223609e-006;
0.00025954321;1.6157222e-006;0.00025954321;1.223609e-006;
0.00026139709;1.6359766e-006;0.00026139709;1.223609e-006;
0.00026325097;1.4590062e-006;0.00026325097;1.223609e-006;
0.00026510485;1.4795848e-006;0.00026510485;1.223609e-006;
0.00026695873;1.4758887e-006;0.00026695873;1.223609e-006;
0.00026881261;1.395662e-006;0.00026881261;1.223609e-006;
0.00027066649;1.4356606e-006;0.00027066649;1.223609e-006;
0.00027252037;1.4284788e-006;0.00027252037;1.223609e-006;
0.00027437425;1.4320856e-006;0.00027437425;1.223609e-006;
0.00027622813;1.4107963e-006;0.00027622813;1.223609e-006;
0.00027808201;1.3670701e-006;0.00027808201;1.223609e-006;
0.00027993589;1.3543677e-006;0.00027993589;1.223609e-006;
0.00028178977;1.3539058e-006;0.00028178977;1.223609e-006;
0.00028364365;1.3450428e-006;0.00028364365;1.223609e-006;
0.00028549753;1.3272918e-006;0.00028549753;1.223609e-006;
0.00028735141;1.3033163e-006;0.00028735141;1.223609e-006;
0.00028920529;1.2848298e-006;0.00028920529;1.223609e-006;
0.00029105917;1.2494748e-006;0.00029105917;1.223609e-006;
0.00029291305;1.2075801e-006;0.00029291305;1.223609e-006;
0.00029476693;1.1831214e-006;0.00029476693;1.223609e-006;
0.00029662081;1.1939439e-006;0.00029662081;1.223609e-006;
0.00029847469;1.1782332e-006;0.00029847469;1.223609e-006;
0.00030032857;1.2440058e-006;0.00030032857;1.223609e-006;
0.00030218245;1.2413447e-006;0.00030218245;1.223609e-006;
0.00030403633;1.2155902e-006;0.00030403633;1.223609e-006;
0.00030589021;1.2240485e-006;0.00030589021;1.223609e-006;
0.00030774409;1.2181328e-006;0.00030774409;1.223609e-006;
0.00030959797;1.2272832e-006;0.00030959797;1.223609e-006;
0.00031145185;1.2266404e-006;0.00031145185;1.223609e-006;
0.00031330573;1.2192032e-006;0.00031330573;1.223609e-006;
0.00031515961;1.2109069e-006;0.00031515961;1.223609e-006;
0.00031701349;1.2165532e-006;0.00031701349;1.223609e-006;
0.00031886737;1.21632e-006;0.00031886737;1.223609e-006;
0.00032072125;1.2187403e-006;0.00032072125;1.223609e-006;
0.00032257513;1.2234466e-006;0.00032257513;1.223609e-006;
0.00032442901;1.2097786e-006;0.00032442901;1.223609e-006;
0.00032628289;1.186012e-006;0.00032628289;1.223609e-006;
0.00032813677;1.1968022e-006;0.00032813677;1.223609e-006;
0.00032999065;1.1900172e-006;0.00032999065;1.223609e-006;
0.00033184453;1.201218e-006;0.00033184453;1.223609e-006;
0.00033369841;1.2145789e-006;0.00033369841;1.223609e-006;
0.00033555229;1.2225277e-006;0.00033555229;1.223609e-006;
0.00033740617;1.2286792e-006;0.00033740617;1.223609e-006;
0.00033926005;1.1908557e-006;0.00033926005;1.223609e-006;
0.00034111393;1.1816884e-006;0.00034111393;1.223609e-006;
0.00034296781;1.185955e-006;0.00034296781;1.223609e-006;
0.00034482169;1.1967728e-006;0.00034482169;1.223609e-006;
0.00034667557;1.2379055e-006;0.00034667557;1.223609e-006;
0.00034852945;1.1677588e-006;0.00034852945;1.223609e-006;
0.00035038333;1.1956508e-006;0.00035038333;1.223609e-006;
0.00035223721;1.1981012e-006;0.00035223721;1.223609e-006;
0.00035409109;1.1801271e-006;0.00035409109;1.223609e-006;
0.00035594497;1.220082e-006;0.00035594497;1.223609e-006;
0.00035779885;1.2019146e-006;0.00035779885;1.223609e-006;
0.00035965273;1.2127157e-006;0.00035965273;1.223609e-006;
0.00036150661;1.2037587e-006;0.00036150661;1.223609e-006;
0.00036336049;1.194393e-006;0.00036336049;1.223609e-006;
0.00036521437;1.1944735e-006;0.00036521437;1.223609e-006;
0.00036706825;1.2142858e-006;0.00036706825;1.223609e-006;
0.00036892213;1.2121853e-006;0.00036892213;1.223609e-006;
0.00037077601;1.2703029e-006;0.00037077601;1.223609e-006;
0.00037262989;1.1163561e-006;0.00037262989;1.223609e-006;
0.00037448377;1.1546995e-006;0.00037448377;1.223609e-006;
0.00037633765;1.2084438e-006;0.00037633765;1.223609e-006;
0.00037819153;1.2668827e-006;0.00037819153;1.223609e-006;
0.00038004541;1.2096046e-006;0.00038004541;1.5737858e-006;
0.00038189929;1.1529998e-006;0.00038189929;1.5737858e-006;
0.00038375317;1.2440262e-006;0.00038375317;1.5737858e-006;
0.00038560705;1.711269e-006;0.00038560705;1.5737858e-006;
0.00038746093;2.1094114e-006;0.00038746093;1.5737858e-006;
0.00038931481;2.2292603e-006;0.00038931481;1.5737858e-006;
0.00039116869;2.2828522e-006;0.00039116869;1.5737858e-006;
0.00039302257;2.5009248e-006;0.00039302257;1.5737858e-006;
0.00039487645;2.7611751e-006;0.00039487645;1.5737858e-006;
0.00039673033;1.609105e-006;0.00039673033;1.5737858e-006;
0.00039858421;1.7858725e-006;0.00039858421;1.5737858e-006;
0.00040043809;1.5424316e-006;0.00040043809;1.5737858e-006;
0.00040229197;1.0466584e-006;0.00040229197;1.5737858e-006;
0.00040414585;8.9243104e-007;0.00040414585;1.5737858e-006;
0.00040599973;9.1554223e-007;0.00040599973;1.5737858e-006;
0.00040785361;9.2765311e-007;0.00040785361;1.5737858e-006;
0.00040970749;9.9133432e-007;0.00040970749;1.5737858e-006;
0.00041156137;1.133065e-006;0.00041156137;1.5737858e-006;
0.00041341525;2.6811404e-006;0.00041341525;1.5737858e-006;
0.00041526913;2.603931e-006;0.00041526913;1.5737858e-006;
0.00041712301;2.5848438e-006;0.00041712301;1.5737858e-006;
0.00041897689;2.5587576e-006;0.00041897689;1.5737858e-006;
0.00042083077;2.5341953e-006;0.00042083077;1.5737858e-006;
0.00042268465;2.484717e-006;0.00042268465;1.5737858e-006;
0.00042453853;2.5004406e-006;0.00042453853;1.5737858e-006;
0.00042639241;2.4756684e-006;0.00042639241;1.5737858e-006;
0.00042824629;2.2706015e-006;0.00042824629;1.5737858e-006;
0.00043010017;2.1309833e-006;0.00043010017;1.5737858e-006;
0.00043195405;1.9570608e-006;0.00043195405;1.5737858e-006;
0.00043380793;1.868367e-006;0.00043380793;1.5737858e-006;
0.00043566181;1.3098874e-006;0.00043566181;1.5737858e-006;
0.00043751569;1.4248662e-006;0.00043751569;1.5737858e-006;
0.00043936957;1.4562831e-006;0.00043936957;1.5737858e-006;
0.00044122345;1.5095576e-006;0.00044122345;1.5737858e-006;
0.00044307733;1.5233301e-006;0.00044307733;1.5737858e-006;
0.00044493121;1.5069227e-006;0.00044493121;1.5737858e-006;
0.00044678509;1.5200252e-006;0.00044678509;1.5737858e-006;
0.00044863897;1.566328e-006;0.00044863897;1.5737858e-006;
0.00045049285;1.5769219e-006;0.00045049285;1.5737858e-006;
0.00045234673;1.5058771e-006;0.00045234673;1.5737858e-006;
0.00045420061;1.5012555e-006;0.00045420061;1.5737858e-006;
